File Name, Peak Frequency (Hz), Frequency Error, Thermal Diffusivity (m2/s), Thermal Error, Tau\n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot13-POS-1.txt,5.49E+08,2.41E+04,1.83E-05,9.27E-05,2.02E-08,1.99E-08,2.45E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot14-POS-1.txt,5.50E+08,1.47E+04,2.12E-05,3.59E-04,2.11E-08,1.99E-08,2.61E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot15-POS-1.txt,5.48E+08,1.06E+04,1.90E-05,5.67E-04,2.04E-08,2.00E-08,2.53E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot16-POS-1.txt,5.50E+08,2.15E+04,1.77E-05,1.13E-04,1.97E-08,1.99E-08,2.39E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot17-POS-1.txt,5.51E+08,1.57E+04,2.02E-05,2.61E-04,2.10E-08,1.98E-08,2.65E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot18-POS-1.txt,5.50E+08,1.19E+04,1.08E-08,NaN,2.14E-08,1.99E-08,2.69E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot19-POS-1.txt,5.50E+08,1.17E+04,2.23E-05,2.96E-03,2.05E-08,1.99E-08,2.49E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot20-POS-1.txt,5.50E+08,1.70E+04,2.38E-05,2.58E-04,2.11E-08,1.99E-08,2.60E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot21-POS-1.txt,5.50E+08,2.11E+04,1.73E-05,2.10E-04,1.89E-08,1.99E-08,2.43E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot22-POS-1.txt,5.48E+08,1.18E+04,2.53E-05,1.51E-04,2.02E-08,1.99E-08,2.53E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot23-POS-1.txt,2.35E+07,1.93E+04,1.57E-05,4.75E-05,4.84E-08,4.65E-07,5.01E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot24-POS-1.txt,2.38E+07,1.59E+04,2.76E-05,1.56E-04,4.69E-08,4.59E-07,5.21E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot25-POS-1.txt,5.50E+08,2.16E+04,2.31E-05,2.47E-04,1.36E-08,1.99E-08,2.34E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot06-POS-1.txt,5.49E+08,2.44E+04,1.98E-05,4.27E-05,1.94E-08,1.99E-08,2.41E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-5.4809C40degSpot07-POS-1.txt,5.49E+08,2.54E+04,2.17E-05,7.35E-03,1.92E-08,1.99E-08,2.38E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
