Study Name	Tungsten_Calibration
Sample Name	2021-12-13
Run Name	spot0
Operator	Ben/Eleni
Date	12/13/2021
Time	14:15
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:16:06
	
Time	Amplitude
3.715000E-8	-1.557072E-3
3.720000E-8	-1.336101E-3
3.725000E-8	-1.043187E-3
3.730000E-8	-5.995326E-4
3.735000E-8	-8.050876E-5
3.740000E-8	5.190238E-4
3.745000E-8	1.137399E-3
3.750000E-8	1.776329E-3
3.755000E-8	2.440954E-3
3.760000E-8	3.124421E-3
3.765000E-8	3.780481E-3
3.770000E-8	4.386865E-3
3.775000E-8	4.998388E-3
3.780000E-8	5.561949E-3
3.785000E-8	6.080973E-3
3.790000E-8	6.565737E-3
3.795000E-8	6.999114E-3
3.800000E-8	7.399944E-3
3.805000E-8	7.749386E-3
3.810000E-8	8.045726E-3
3.815000E-8	8.306095E-3
3.820000E-8	8.484241E-3
3.825000E-8	8.561324E-3
3.830000E-8	8.542482E-3
3.835000E-8	8.448270E-3
3.840000E-8	8.268410E-3
3.845000E-8	7.982347E-3
3.850000E-8	7.617489E-3
3.855000E-8	7.204668E-3
3.860000E-8	6.774717E-3
3.865000E-8	6.303656E-3
3.870000E-8	5.791484E-3
3.875000E-8	5.255331E-3
3.880000E-8	4.715751E-3
3.885000E-8	4.157330E-3
3.890000E-8	3.559510E-3
3.895000E-8	2.973681E-3
3.900000E-8	2.422111E-3
3.905000E-8	1.930495E-3
3.910000E-8	1.423461E-3
3.915000E-8	8.701785E-4
3.920000E-8	3.699971E-4
3.925000E-8	-7.365696E-5
3.930000E-8	-5.241628E-4
3.935000E-8	-9.301320E-4
3.940000E-8	-1.236750E-3
3.945000E-8	-1.442304E-3
3.950000E-8	-1.598183E-3
3.955000E-8	-1.676978E-3
3.960000E-8	-1.611886E-3
3.965000E-8	-1.450869E-3
3.970000E-8	-1.240176E-3
3.975000E-8	-9.352708E-4
3.980000E-8	-5.412923E-4
3.985000E-8	-1.096289E-4
3.990000E-8	3.785618E-4
3.995000E-8	9.164282E-4
4.000000E-8	1.449156E-3
4.005000E-8	1.997300E-3
4.010000E-8	2.507759E-3
4.015000E-8	3.030209E-3
4.020000E-8	3.540668E-3
